Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Wikipedia page,2026-02-15 18:52:36,,"Phytotoma",,"",http://ca.wikipedia.org/?diff=prev&oldid=36846394#altmetric_citation_9c39e926-912d-435a-b6ce-9c5795515736,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2026-02-15 18:32:59,,"Doliornis",,"",http://ca.wikipedia.org/?diff=prev&oldid=36846264#altmetric_citation_26716dd2-251a-4545-bbfd-d75cc98670b4,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2025-12-24 15:22:56,,"Cotingidae",,"",http://ro.wikipedia.org/?diff=prev&oldid=17378778#altmetric_citation_69b41b44-694f-4266-aa6b-27a280c47b20,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2025-09-26 20:02:28,,"Scimitar-winged piha",,"",http://en.wikipedia.org/?diff=prev&oldid=1313536761#altmetric_citation_55f6c58a-4668-4b82-982d-e4b7c8de5a11,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2025-09-16 10:41:33,,"Campaner collnú",,"",http://ca.wikipedia.org/?diff=prev&oldid=36154109#altmetric_citation_6e86a5ad-48d1-4b6b-9836-517ef7cc48c8,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2025-04-07 08:47:48,,"Pipreola",,"",http://ca.wikipedia.org/?diff=prev&oldid=34978245#altmetric_citation_788dd740-b730-4375-8bef-94d0ce00ef08,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2024-08-19 08:16:31,,"Kotingovití",,"",http://cs.wikipedia.org/?diff=prev&oldid=24174702#altmetric_citation_295b806f-74b9-4112-b6d3-ec5669823f2b,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2023-02-03 14:00:30,,"Einlappenkotinga",,"",http://de.wikipedia.org/?diff=prev&oldid=230500408#altmetric_citation_d1922c8c-71ae-43ad-a8d0-4db6364dd6ed,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2022-09-22 18:44:11,,"????????",,"",http://uk.wikipedia.org/?diff=prev&oldid=37181227#altmetric_citation_2a3490c6-a7bb-4180-96ef-3a6150c12641,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Wikipedia page,2022-09-17 19:44:22,,"?????????",,"",http://uk.wikipedia.org/?diff=prev&oldid=37143678#altmetric_citation_0518f386-36a3-4621-a0e1-2e26cd06d290,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
