Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","56302593","","",1525645185811632128,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","48515348","","",1525643603204263936,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","2531774797","","",1461881341876654080,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","2207527682","","",1461393775167606787,"",Neutral positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1222883293831540738","","",1461325174326792195,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1054832486763651073","","",1461324757165428737,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","2744672457","","",1461242832560304134,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","141729637","","",1461239718323146752,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1379898443615903750","","",1461233225590792198,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","79554106","","",1461180995022077953,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1166817906191003648","","",1461179808369586180,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","51449860","","",1461176691359952897,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1112862683261493249","","",1461161729941860353,"",Strong positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","925407430099587072","","",1461158447072755712,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1273365775114539010","","",1461146224304836611,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","742798658","","",1461119325566287877,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1267930423461662725","","",1461117066681978888,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","848080104123248640","","",1461115770977460241,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","561372021","","",1461114604239552520,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
