Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Bluesky post,2025-09-22 12:43:48,"Marcos K. Pinheiro / ""Marcos Wyvern"" (Marcosaurus)",,,"",https://bsky.app/profile/did:plc:ynb5mi4c2ualp4htuu6ljxwr/post/3lzdy47wtdc2y#did:plc:hywb7wquzmqvswfgsz4mgvnk,Neutral,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Bluesky post,2025-09-22 04:20:30,"",,,"",https://bsky.app/profile/did:plc:ynb5mi4c2ualp4htuu6ljxwr/post/3lzdy47wtdc2y#did:plc:abupjlsxknpn44c5nyzw5gew,Neutral,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Bluesky post,2025-09-22 02:28:43,"",,,"",https://bsky.app/profile/did:plc:ynb5mi4c2ualp4htuu6ljxwr/post/3lzdy47wtdc2y#did:plc:zkbql7uqp6at33cmwrlks5oc,Neutral,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Bluesky post,2025-09-21 18:12:26,"Dr. Tanya Samman",,,"",https://bsky.app/profile/did:plc:ynb5mi4c2ualp4htuu6ljxwr/post/3lzdy47wtdc2y#did:plc:pqlvthvwguqvowzq2e5me5to,Neutral,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Bluesky post,2025-09-21 13:16:56,"Thomas R. Holtz, Jr.",,,"",https://bsky.app/profile/did:plc:ynb5mi4c2ualp4htuu6ljxwr/post/3lzdy47wtdc2y,Neutral,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Bluesky post,2025-09-17 21:34:52,"Jake Berv",,,"",https://bsky.app/profile/did:plc:pwgoyneexufgivxyu2kv7i3k/post/3lz2hm2ngtc2b#did:plc:fcy7pye3av6sjq6rxhi72bp2,Positive,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Bluesky post,2025-09-17 20:06:17,"Eric Ekdale",,,"",https://bsky.app/profile/did:plc:fytah5th7kpumqprtdark25o/post/3lz2n4jyrhc2z,Positive,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Wikipedia page,2025-09-17 20:05:43,,"2025 in paleomammalogy",,"",http://en.wikipedia.org/?diff=prev&oldid=1311946567#altmetric_citation_0d74408c-1520-44f2-9208-144c190b3344,,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
X Post,"","1688655348788613123","","",1968384544169672771,"",Positive,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
Bluesky post,2025-09-17 18:27:36,"Rebecca J. Strauch",,,"",https://bsky.app/profile/did:plc:pwgoyneexufgivxyu2kv7i3k/post/3lz2hm2ngtc2b,Positive,"Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding","Paleobiology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 37 Earth Sciences","Canadian Museum of Nature; Miami University; National Museum of Natural History, Paris, France; University of Michigan–Ann Arbor; Western Governors University",2025-09-17,9,https://www.altmetric.com/details/181471991,10.1017/pab.2025.10061,,,,,,"",,,,,,"BioOne; Cambridge University Press; GeoScienceWorld"
