Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Blog post,2025-09-16 04:01:35,"The Academic Minute","David Fouhey, New York University – For the Birds",,"",https://academicminute.org/david-fouhey-new-york-university-for-the-birds/,,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
X Post,"","1481378141922676742","","",1952503174293586106,"",Neutral,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
Bluesky post,2025-06-20 23:31:44,"SolarPunkTradwife",,,"",https://bsky.app/profile/did:plc:qbiqvb5eut2shx42a34yfi2m/post/3ls2dp5vzwk2g#did:plc:mnqqtmliifxh7vhs6nmgrc5j,Neutral positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
Bluesky post,2025-06-20 21:50:47,"Roberto Rozzi",,,"",https://bsky.app/profile/did:plc:qbiqvb5eut2shx42a34yfi2m/post/3ls2dp5vzwk2g#did:plc:z7ukbu2ecr4jv2ytiob4a3mu,Neutral positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
Bluesky post,2025-06-20 20:49:52,"Chris Stringer",,,"",https://bsky.app/profile/did:plc:qbiqvb5eut2shx42a34yfi2m/post/3ls2dp5vzwk2g#did:plc:qbiqvb5eut2shx42a34yfi2m,Neutral positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
Bluesky post,2025-06-20 16:20:55,"",,,"",https://bsky.app/profile/did:plc:qbiqvb5eut2shx42a34yfi2m/post/3ls2dp5vzwk2g#did:plc:33573gvqjviarx5mbrerhh3f,Neutral positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
Bluesky post,2025-06-20 15:21:23,"Chris Stringer",,,"",https://bsky.app/profile/did:plc:qbiqvb5eut2shx42a34yfi2m/post/3ls2dp5vzwk2g,Neutral positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
X Post,"","1878458609547591681","","",1929207616057884740,"",Positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
X Post,"","1454428513348423687","","",1929061438229778704,"",Neutral positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
X Post,"","1773734015029112833","","",1929018384240234541,"",Neutral positive,"Skeletal trait measurements for thousands of bird species","Scientific Data","WEEKS, Brian C; FOUHEY, David F","School for Environment and Sustainability; University of Michigan; School for Environment and Sustainability; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; Centers and Institutes; AI & Digital Health Innovation; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology","Carnegie Mellon University; Courant Institute of Mathematical Sciences; Field Museum of Natural History; New York University; Princeton University; University of Chicago; University of Michigan–Ann Arbor",2025-05-28,14,https://www.altmetric.com/details/177470750,10.1038/s41597-025-05234-y,,,,40436915,PMC12119840,"",,,,,,"Scientific American; Springer Nature"
