Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","1271969752475488261","","",1692974276226228619,"",Strong positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","1276149520863289345","","",1692636863897428428,"",Strong positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","1173779402754351106","","",1692624853277315254,"",Strong positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","1562532690800173056","","",1692614459762647053,"",Strong positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","48515348","","",1692600044208148916,"",Neutral positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","56302593","","",1692598703402398092,"",Strong positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","550317493","","",1692598084776100190,"",Strong positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","48515348","","",1692596382769537267,"",Strong positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","1481378141922676742","","",1687837372472229889,"",Neutral,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","822903723445731328","","",1687282412487864320,"",Neutral positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","748225461180862464","","",1687275426563932160,"",Neutral positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","1949132852","","",1687275422554177536,"",Neutral positive,"The pace of mitochondrial molecular evolution varies with seasonal migration distance","bioRxiv",,,Article,"31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics","University of Michigan–Ann Arbor",2023-08-03,6,https://www.altmetric.com/details/152358546,10.1101/2023.08.01.551470,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
