Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","48515348","","",1375511922448064514,"",Neutral positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","48515348","","",1293957709453131776,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","48515348","","",1293948092685799424,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","821005643553402885","","",1280545169905987584,"",,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","890098555","","",1280509846027210753,"",,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","1086292805243338752","","",1154344984302276608,"",Strong positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","142149806","","",1154210062979784704,"",Strong positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","589570644","","",1154193677322981378,"",Strong positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","3108233650","","",1154192432059297792,"",Strong positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
X Post,"","48515348","","",1154190082422857733,"",Strong positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","bioRxiv",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2019-07-24,6,https://www.altmetric.com/details/63985430,10.1101/713081,,,,,,"",,,,,,"Cold Spring Harbor Laboratory"
