Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Wikipedia page,2024-08-05 12:00:04,,"Mellisugini",,"",http://fr.wikipedia.org/?diff=prev&oldid=217395623#altmetric_citation_8e935385-49fe-484e-b93e-2468cbc4e494,,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
Wikipedia page,2022-07-24 07:59:39,,"Mellisugini",,"",http://uk.wikipedia.org/?diff=prev&oldid=36634209#altmetric_citation_a54fe05b-bcdf-4e45-a820-868d93e31018,,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
Wikipedia page,2022-05-10 15:26:28,,"Mellisugini",,"",http://pt.wikipedia.org/?diff=prev&oldid=63560792#altmetric_citation_ab3bff94-c9af-4a1c-92e5-f8feab1a456e,,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
Wikipedia page,2021-02-12 18:05:11,,"Mellisugini",,"",http://en.wikipedia.org/?diff=prev&oldid=1006400091#altmetric_citation_bfff292f-b012-491d-b5ca-da8108ec5edb,,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
X Post,"","1123828514","","",1167428374500974594,"",Positive,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
X Post,"","2361291307","","",1137323775634993156,"",Neutral,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
X Post,"","1079917939","","",976142238509031424,"",Neutral positive,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
X Post,"","1641282108","","",959043966170693634,"",Neutral positive,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
X Post,"","1418434280","","",958971794521812992,"",Positive,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
X Post,"","2761450992","","",958840561535995904,"",Neutral positive,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds","Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3109 Zoology","Cornell University; Universidad San Francisco de Quito; Universidad Tecnológica Indoamérica; University of California, Berkeley; University of California, San Diego; Yale University",2018-03-01,12,https://www.altmetric.com/details/32417206,10.1111/evo.13432,,,,29380351,,"",,,,,,"BioOne; Oxford University Press (OUP); Wiley"
