Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","48515348","","",1961486025475178552,"",Neutral positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","784610700","","",1891531254538862783,"",Neutral positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
Blog post,2025-01-27 19:14:00,"Raptormaniacs","Review of 2024",,"",https://albertonykus.blogspot.com/2025/01/review-of-2024.html,,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","1481378141922676742","","",1850212638283727009,"",Neutral,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","1618173426971348992","","",1844159142812074022,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","850790882","","",1840666922901483713,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","719199288010678272","","",1839171240914739641,"",Neutral,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","2860257546","","",1835989408740519990,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","2430464773","","",1832215872754348281,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
X Post,"","1729513253972107265","","",1832215777912803773,"",Positive,"Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction","Science Advances","SMITH, Stephen A; WINGER, Benjamin; FRIEDMAN, Matt","Centers and Institutes; Earth and Environmental Science; College of Literature, Science and the Arts; Center for Computational Medicine and Bioinformatics; Ecology and Evolutionary Biology; University of Michigan; All Academics for Portal Push Minus College Of LIterature, Science and the Arts; UMich PROD All Academics For Portal Push",Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 37 Earth Sciences; 3705 Geology","California State University, Dominguez Hills; Cornell University; Swiss Federal Institute for Forest, Snow and Landscape Research; University of Cambridge; University of Florida; University of Michigan–Ann Arbor; University of North Carolina at Charlotte; University of Toronto; Washington University in St. Louis; Yale University",2024-07-31,347,https://www.altmetric.com/details/165827653,10.1126/sciadv.adp0114,,,,39083615,PMC11290531,"",,,,,,"American Association for the Advancement of Science (AAAS)"
