Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Wikipedia page,2023-02-26 15:36:57,,"Inaguasternkolibri",,"",http://de.wikipedia.org/?diff=prev&oldid=231274699#altmetric_citation_8cc642ad-50f2-4f44-a512-ecae3739d12d,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Wikipedia page,2022-11-05 20:30:08,,"???????-??????? ????????????",,"",http://uk.wikipedia.org/?diff=prev&oldid=37532590#altmetric_citation_bbc66d72-5b7d-47d0-8db3-e43e89beeb89,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Wikipedia page,2022-11-05 20:30:06,,"???????-??????? ??????????",,"",http://uk.wikipedia.org/?diff=prev&oldid=37532588#altmetric_citation_0ce6bb10-d02d-4eb6-a0ed-3ab69de2ae17,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Wikipedia page,2022-09-07 17:53:33,,"Nesophlox",,"",http://uk.wikipedia.org/?diff=prev&oldid=37058268#altmetric_citation_37a299dd-74d1-43b5-8756-fb0d49874418,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Wikipedia page,2019-08-08 08:27:10,,"Nesophlox",,"",http://pl.wikipedia.org/?diff=prev&oldid=57218145#altmetric_citation_3,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","714177193","","",828970616275431425,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","138467540","","",828725014686027777,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","2767552191","","",828724953964912640,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
Wikipedia page,2016-09-09 13:22:02,,"Philodice (ptaki)",,"",http://pl.wikipedia.org/?diff=prev&oldid=46773077#altmetric_citation_5,,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","714177193","","",763384883058135043,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","17327847","","",763128455244361728,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","2767552191","","",763125251735642114,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
X Post,"","2767552191","","",720017422619582465,"",Neutral positive,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox “evelynae” lyrura)","Ornithology",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-12-17,76,https://www.altmetric.com/details/2996099,10.1642/auk-14-108.1,,,http://www.bioone.org/doi/abs/10.1642/AUK-14-108.1,,,"",,,,,,"BioOne; Oxford University Press (OUP)"
