mention_id,canonical_publication_id,canonical_publication_title,canonical_doi,source_doi,merged_from_doi,mention_type,super_category,mention_date,has_date,outlet,outlet_raw,domain,country,mention_title,mention_url,sentiment,attention_score,source_file
2026-02-16_mentions_10.1002_ece3.8114__12,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-11-03T17:55:49,True,Futurity,Futurity,futurity.org,United States,Laying low might have saved ground critters from dino-killing asteroid - Futurity,https://www.futurity.org/mass-extinction-ground-dwellers-trees-2642052-2/?utm_source=rss&utm_medium=rss&utm_campaign=mass-extinction-ground-dwellers-trees-2642052-2,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__17,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-17T14:57:59,True,Scitech Daily,Scitech Daily,scitechdaily.com,United States,Primates Ancestors May Have Left Trees To Survive Asteroid That Wiped Out the Dinosaurs,https://scitechdaily.com/primates-ancestors-may-have-left-trees-to-survive-asteroid-that-wiped-out-the-dinosaurs/,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__20,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-15T18:43:11,True,Sci-News,Sci-News,feedproxy.google.com,United States,Ancestors of Primates and Marsupials May Have Left Trees to Survive End-Cretaceous Extinction | Sci-News.com,http://feedproxy.google.com/~r/BreakingScienceNews/~3/ILXwiuvLmWE/end-cretaceous-arboreal-mammals-10170.html,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__22,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-15T04:24:12,True,Ebiotrade,Ebiotrade,ebiotrade.com,China,????????????????????,http://www.ebiotrade.com/newsf/2021-10/20211014091918499.htm,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__23,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-14T19:53:03,True,Muy Interesante,Muy Interesante,muyinteresante.es,Spain,Los ancestros de los primates bajaron de los rboles para sobrevivir al impacto del asteroide,https://www.muyinteresante.es/ciencia/articulo/los-ancestros-de-los-primates-bajaron-de-los-arboles-para-sobrevivir-al-impacto-del-asteroide-101634240756,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__26,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-14T12:18:30,True,Mirage News,Mirage News,miragenews.com,Australia,Tree-dwelling mammals survived after asteroid strike destroyed forests,https://www.miragenews.com/tree-dwelling-mammals-survived-after-asteroid-652029/,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__27,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-14T12:10:32,True,University of Cambridge,University of Cambridge,cam.ac.uk,United Kingdom,Tree-dwelling mammals survived after asteroid strike destroyed forests,https://www.cam.ac.uk/research/news/tree-dwelling-mammals-survived-after-asteroid-strike-destroyed-forests,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__28,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-14T09:55:49,True,Naked Science,Naked Science,naked-science.ru,Russia,?????? ???????? ????? ?????? ? ???????? ????? ??????? ????????? 65 ????????? ??? ?????,https://naked-science.ru/article/biology/predki-primatov-mogli-slezt-s-derevev-posle?alm_mvr=0,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__31,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-13T15:40:39,True,Science Daily,Science Daily,sciencedaily.com,United States,Primates ancestors may have left trees to survive asteroid,https://www.sciencedaily.com/releases/2021/10/211013114039.htm,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
2026-02-16_mentions_10.1002_ece3.8114__33,pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,10.1002/ece3.8114,,News story,media_reference,2021-10-13T12:10:58,True,Canaltech,Canaltech,canaltech.com.br,Brazil,Mamferos teriam sobrevivido extino h 66 milhes de anos; entenda,https://canaltech.com.br/meio-ambiente/mamiferos-teriam-sobrevivido-a-extincao-ha-66-milhoes-de-anos-entenda-198577/,,216,2026-02-16_mentions_10.1002_ece3.8114.csv
