canonical_publication_id,canonical_title,canonical_doi,canonical_permalink,canonical_year,canonical_venue,altmetric_tracking_state,mentions,scholar_citations,source_pub_count,source_doi_count,source_pub_ids,source_dois,is_external_only
pub_002,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing,10.1038/nature15697,/publication/2015-10-07-Prum_Berv_et_al_2015,2015,Nature,tracked_with_mentions,755,1867,1,2,publication__2015-10-07-Prum_Berv_et_al_2015,10.1038/nature15697;10.1038/nature19417,False
pub_007,Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction,10.1016/j.cub.2018.04.062,/publication/2018-05-24-Field_et_al_2018,2018,Current Biology,tracked_with_mentions,393,184,1,1,publication__2018-05-24-Field_et_al_2018,10.1016/j.cub.2018.04.062,False
pub_012,Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction,10.1093/sysbio/syx064,/publication/2018-01-01-Berv_Field_2018,2018,Systematic Biology,tracked_with_mentions,121,128,1,1,publication__2018-01-01-Berv_Field_2018,10.1093/sysbio/syx064,False
pub_010,Genome and life-history evolution link bird diversification to the end-Cretaceous mass extinction,10.1126/sciadv.adp0114,/publication/2024-08-02-Berv_et_al_2024,2024,Science Advances,tracked_with_mentions,115,20,1,1,publication__2024-08-02-Berv_et_al_2024,10.1126/sciadv.adp0114,False
pub_008,Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary,10.1002/ece3.8114,/publication/2021-10-11-Hughes_et_al_2021,2021,Ecology and Evolution,tracked_with_mentions,101,33,1,1,publication__2021-10-11-Hughes_et_al_2021,10.1002/ece3.8114,False
pub_001,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification",10.1016/j.ympev.2014.09.001,/publication/2014-09-16-Berv_Prum_2014,2014,Molecular Phylogenetics and Evolution,tracked_with_mentions,89,55,1,1,publication__2014-09-16-Berv_Prum_2014,10.1016/j.ympev.2014.09.001,False
pub_011,Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes,10.1016/j.ympev.2021.107205,/publication/2021-05-18-Berv_et_al_2021,2021,Molecular Phylogenetics and Evolution,tracked_with_mentions,70,41,1,2,publication__2021-05-18-Berv_et_al_2021,10.1016/j.ympev.2021.107205;10.1101/713081,False
pub_006,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox evelynae lyrura)",10.1642/auk-14-108.1,/publication/2014-12-17-Feo_et_al_2015,2014,The Auk: Ornithological Advances,tracked_with_mentions,36,21,1,1,publication__2014-12-17-Feo_et_al_2015,10.1642/auk-14-108.1,False
pub_016,Skeletal trait measurements for thousands of bird species,10.1038/s41597-025-05234-y,/publication/2025-05-28-Weeks_et_al_2025,2025,Scientific Data,tracked_with_mentions,22,0,1,2,publication__2025-05-28-Weeks_et_al_2025,10.1038/s41597-025-05234-y;10.1101/2024.12.19.629481,False
pub_004,"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds",10.1111/evo.13432,/publication/2018-03-01-Clark_et_al_2018,2018,Evolution,tracked_with_mentions,20,53,1,1,publication__2018-03-01-Clark_et_al_2018,10.1111/evo.13432,False
pub_019,The pace of mitochondrial molecular evolution varies with seasonal migration distance,10.1093/evolut/qpad200,/publication/2023-08-03-Pegan_et_al_2023,2023,Evolution,tracked_with_mentions,14,9,1,2,publication__2023-08-03-Pegan_et_al_2023,10.1093/evolut/qpad200;10.1101/2023.08.01.551470,False
pub_014,Morphological diversity of the cetacean mandibular symphysis coincides with novel modes of aquatic feeding,10.1017/pab.2025.10061,/publication/2025-09-17-Strauch_et_al_2025,2025,Paleobiology,tracked_with_mentions,10,0,1,1,publication__2025-09-17-Strauch_et_al_2025,10.1017/pab.2025.10061,False
pub_003,An inverse latitudinal gradient in infection probability and phylogenetic diversity for Leucocytozoon blood parasites in New World birds,10.1111/1365-2656.13117,/publication/2019-09-30-Fecchio_et_al_2019,2019,Journal of Animal Ecology,not_tracked,0,98,1,1,publication__2019-09-30-Fecchio_et_al_2019,10.1111/1365-2656.13117,False
pub_020,"Timing the Extant Avian Radiation: The Rise of Modern Birds, and the Importance of Modeling Molecular Rate Variation",https://digitallibrary.amnh.org/handle/2246/7237,/publication/2020-08-21-field_et_al_2020,2020,Bulletin of the American Museum of Natural History,not_tracked,0,45,1,1,publication__2020-08-21-field_et_al_2020,https://digitallibrary.amnh.org/handle/2246/7237,False
pub_015,Recent divergence and lack of shared phylogeographic history characterize the diversification of neotropical savanna birds,10.1111/jbi.14065,/publication/2021-03-08-vanEls_et_al_2021,2021,Journal of Biogeography,not_tracked,0,30,1,1,publication__2021-03-08-vanEls_et_al_2021,10.1111/jbi.14065,False
pub_005,CRAN Task View: Phylogenetics,https://cran.r-project.org/view=phylogenetics,/publication/2022-12-20-Gearty_et_al_2022,2022,CRAN,not_tracked,0,6,1,1,publication__2022-12-20-Gearty_et_al_2022,https://cran.r-project.org/view=phylogenetics,False
pub_018,"The genomic landscape, causes, and consequences of extensive phylogenomic discordance in Old World mice and rats",10.1101/2023.08.28.555178,/publication/2023-08-28-Thomas_et_al_2023,2023,bioRxiv,not_tracked,0,2,1,1,publication__2023-08-28-Thomas_et_al_2023,10.1101/2023.08.28.555178,False
pub_013,Habitat-associated evolutionary rates in deep-sea invertebrates,10.1093/evolut/qpaf080,/publication/2025-04-29-Weiss_et_al_2025,2025,Evolution,not_tracked,0,1,1,1,publication__2025-04-29-Weiss_et_al_2025,10.1093/evolut/qpaf080,False
pub_021,Variable patterns of phenotypic evolution among canonical ‘living fossil’ lineages,10.1101/2024.11.14.623638,/publication/2024-11-14-Rivero-Vega_et_al_2024,2024,biorxiv,not_tracked,0,1,1,1,publication__2024-11-14-Rivero-Vega_et_al_2024,10.1101/2024.11.14.623638,False
pub_009,Exploring the data demands and global opportunities for reconstructing morphological responses to climate change,10.1007/s10682-025-10368-x,/publication/2026-01-12-Weeks_et_al_2026,2026,Evolutionary Ecology,not_tracked,0,0,1,1,publication__2026-01-12-Weeks_et_al_2026,10.1007/s10682-025-10368-x,False
pub_017,"TEMPO AND MODE: USING GENOMIC, ANATOMICAL, AND LIFE-HISTORY DATA TO INTEGRATE THE MICRO- AND MACROEVOLUTION OF BIRDS",10.7298/cabd-0q58,/publication/2019-08-30-Berv_2019,2019,Cornell University,not_tracked,0,0,1,1,publication__2019-08-30-Berv_2019,10.7298/cabd-0q58,False
