domain,matched_domain,match_type,tranco_rank,reach_score,reach_percentile,reach_tier,mentions,unique_outlets,top_outlet,top_outlet_mentions,first_mention_date,last_mention_date,tranco_list_id,tranco_list_created_on,generated_at_utc
ct.moreover.com,moreover.com,suffix,35709,24.12,96.429,medium,44,36,MSN,3,2024-02-23T14:45:00,2025-05-25T01:32:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
phys.org,phys.org,exact,2810,42.52,99.719,high,11,1,Phys.org,11,2014-10-14T19:19:16,2023-12-20T18:19:09,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
theconversation.com,theconversation.com,exact,982,50.13,99.902,very_high,9,1,The Conversation,9,2018-05-24T15:08:08,2024-02-15T05:11:12,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
rawstory.com,rawstory.com,exact,8614,34.41,99.139,high,8,1,The Raw Story,8,2022-11-25T03:37:42,2023-12-27T12:52:43,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
feedproxy.google.com,google.com,suffix,1,100.0,100.0,very_high,7,3,Sci-News,3,2015-10-14T01:10:13,2021-10-15T18:43:11,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
uk.news.yahoo.com,yahoo.com,suffix,56,70.86,99.995,very_high,7,1,Yahoo! News,7,2018-05-24T15:00:00,2023-12-19T16:53:46,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
eurekalert.org,eurekalert.org,exact,3808,40.32,99.619,high,7,1,EurekAlert!,7,2014-10-14T04:00:00,2021-11-17T14:09:24,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
msn.com,msn.com,exact,62,70.13,99.994,very_high,6,1,MSN,6,2018-05-25T12:53:52,2023-12-20T20:34:55,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
sciencedaily.com,sciencedaily.com,exact,1412,47.5,99.859,high,6,1,Science Daily,6,2014-10-14T19:26:37,2021-11-17T15:01:31,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
news.google.com,google.com,suffix,1,100.0,100.0,very_high,5,1,Google News,5,2019-09-13T12:16:00,2022-11-26T17:10:01,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
newswise.com,newswise.com,exact,19750,28.41,98.025,medium,4,1,Newswise,4,2015-10-12T20:05:00,2021-11-17T00:00:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
miragenews.com,miragenews.com,exact,36571,23.95,96.343,medium,4,1,Mirage News,4,2021-10-11T14:09:36,2021-11-17T14:08:13,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
news.cornell.edu,cornell.edu,suffix,543,54.42,99.946,very_high,3,1,Cornell Chronicle,3,2017-09-21T16:09:02,2021-10-11T14:10:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
sciencealert.com,sciencealert.com,exact,4447,39.2,99.555,high,3,1,Science Alert,3,2018-05-25T03:38:55,2022-11-25T06:16:58,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
firstpost.com,firstpost.com,exact,8472,34.53,99.153,high,3,1,Firstpost,3,2015-10-07T19:15:56,2022-11-25T07:59:21,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
inverse.com,inverse.com,exact,10499,32.98,98.95,medium,3,1,Inverse,3,2018-05-24T15:00:00,2022-12-04T20:00:25,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
naked-science.ru,naked-science.ru,exact,15808,30.02,98.419,medium,3,1,Naked Science,3,2018-05-25T06:27:30,2021-10-14T09:55:49,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
futurity.org,futurity.org,exact,36516,23.96,96.349,medium,3,1,Futurity,3,2015-10-08T15:42:52,2021-11-03T17:55:49,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
sci-news.com,sci-news.com,exact,106135,16.24,89.387,low,3,1,Sci-News,3,2014-10-21T10:01:02,2017-09-22T10:46:25,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
sciencenewsline.com,sciencenewsline.com,exact,863560,1.06,13.644,low,3,1,Science Newsline,3,2015-02-12T17:11:00,2017-09-22T15:40:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
journalbreak.com,,unmatched,0,0.0,0.0,unranked,3,1,journalbreak.Com,3,2022-11-25T11:06:04,2022-11-27T01:08:20,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
nach-welt.com,,unmatched,0,0.0,0.0,unranked,3,1,Nachrichten Welt,3,2022-11-25T14:37:52,2022-11-27T04:02:21,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
in.news.yahoo.com,yahoo.com,suffix,56,70.86,99.995,very_high,2,2,Yahoo! News,1,2015-10-07T17:59:30,2018-05-25T09:36:04,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
businessinsider.com,businessinsider.com,exact,409,56.47,99.959,very_high,2,1,Business Insider,2,2015-10-07T17:10:59,2023-07-12T12:53:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
economictimes.indiatimes.com,indiatimes.com,suffix,487,55.21,99.951,very_high,2,1,Times of India,2,2018-05-25T11:27:16,2023-12-29T05:34:53,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
news.yale.edu,yale.edu,suffix,1089,49.38,99.891,high,2,1,Yale News,2,2018-05-24T15:45:27,2021-10-11T14:00:38,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
smithsonianmag.com,smithsonianmag.com,exact,2656,42.93,99.734,high,2,1,Smithsonian Magazine,2,2018-04-20T15:05:28,2018-05-24T15:13:09,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
yle.fi,yle.fi,exact,3400,41.14,99.66,high,2,1,Yle.fi,2,2018-05-26T13:29:20,2018-10-02T18:34:02,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
popsci.com,popsci.com,exact,4340,39.38,99.566,high,2,1,Popular Science,2,2019-09-17T12:57:24,2022-10-26T15:30:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
scitechdaily.com,scitechdaily.com,exact,5079,38.24,99.492,high,2,1,Scitech Daily,2,2018-05-25T17:57:33,2021-10-17T14:57:59,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
interestingengineering.com,interestingengineering.com,exact,9821,33.46,99.018,high,2,1,Interesting Engineering,2,2020-03-21T01:40:34,2022-11-27T08:47:32,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
devdiscourse.com,devdiscourse.com,exact,33573,24.57,96.643,medium,2,1,Devdiscourse,2,2022-11-25T04:19:11,2023-12-20T06:46:15,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
zap.aeiou.pt,aeiou.pt,suffix,52273,21.36,94.773,medium,2,1,ZAP,2,2018-05-26T09:00:15,2024-08-03T20:30:00,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
labmanager.com,labmanager.com,exact,120629,15.31,87.937,low,2,1,Lab Manager,2,2018-05-25T04:00:00,2021-11-17T17:10:43,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
scienmag.com,scienmag.com,exact,157215,13.39,84.279,low,2,1,ScienMag,2,2021-11-17T14:10:29,2024-07-31T18:20:19,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
astrobio.net,astrobio.net,exact,197653,11.73,80.235,low,2,1,Astrobiology Magazine,2,2017-09-24T13:05:46,2018-05-29T11:57:06,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
foreignaffairs.co.nz,foreignaffairs.co.nz,exact,491127,5.15,50.887,low,2,1,Foreign Affairs New Zealand,2,2019-09-13T12:29:43,2020-07-20T13:52:52,94VW2,2026-07-05T22:00:01.649953,2026-07-06T11:06:21.052529+00:00
