mention_id,mention_date,period_key,snapshot_target_date,snapshot_resolved_date,snapshot_offset_days,mention_to_snapshot_days,snapshot_resolution,tranco_list_id,tranco_list_created_on,domain,matched_domain,match_type,tranco_rank_at_date,reach_score_at_date,reach_percentile_at_date,reach_tier_at_date,outlet,country,canonical_publication_id,canonical_publication_title,mention_title,mention_url
2026-02-16_mentions_10.1016_j.ympev.2014.09.001__86,2014-10-14T04:00:00,2014-Q4,2014-11-15,,,,unresolved,,,eurekalert.org,,unmatched,0,0.0,0.0,unranked,EurekAlert!,United States,pub_001,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification",New 'tree of life' traces evolution of a mysterious cotinga birds,http://www.eurekalert.org/pub_releases/2014-10/cu-no101414.php
2026-02-16_mentions_10.1016_j.ympev.2014.09.001__85,2014-10-14T19:19:16,2014-Q4,2014-11-15,,,,unresolved,,,phys.org,,unmatched,0,0.0,0.0,unranked,Phys.org,United Kingdom,pub_001,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification",New 'tree of life' traces evolution of a mysterious cotinga birds,http://phys.org/news/2014-10-tree-life-evolution-mysterious-cotinga.html
2026-02-16_mentions_10.1016_j.ympev.2014.09.001__84,2014-10-14T19:26:37,2014-Q4,2014-11-15,,,,unresolved,,,sciencedaily.com,,unmatched,0,0.0,0.0,unranked,Science Daily,United States,pub_001,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification",New 'tree of life' traces evolution of a mysterious cotinga birds,http://www.sciencedaily.com/releases/2014/10/141014152637.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily%2Ftop_news+%28ScienceDaily%3A+Top+News%29
2026-02-16_mentions_10.1016_j.ympev.2014.09.001__82,2014-10-15T06:23:58,2014-Q4,2014-11-15,,,,unresolved,,,healthmedicinet.com,,unmatched,0,0.0,0.0,unranked,Health Medicinet,United States,pub_001,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification",New ‘tree of life’ traces evolution of a mysterious cotinga birds,http://healthmedicinet.com/news/new-tree-of-life-traces-evolution-of-a-mysterious-cotinga-birds/
2026-02-16_mentions_10.1016_j.ympev.2014.09.001__73,2014-10-21T10:01:02,2014-Q4,2014-11-15,,,,unresolved,,,sci-news.com,,unmatched,0,0.0,0.0,unranked,Sci-News,United States,pub_001,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification",Ornithologists Map Family Tree of Mysterious Cotinga Birds,http://www.sci-news.com/biology/science-family-tree-cotinga-birds-02218.html
2026-02-16_mentions_10.1642_AUK-14-108.1__26,2015-02-11T05:00:00,2015-Q1,2015-02-15,,,,unresolved,,,eurekalert.org,,unmatched,0,0.0,0.0,unranked,EurekAlert!,United States,pub_006,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox evelynae lyrura)",A new species of hummingbird?,http://www.eurekalert.org/pub_releases/2015-02/uoc--ans_1021115.php
2026-02-16_mentions_10.1642_AUK-14-108.1__23,2015-02-12T12:20:01,2015-Q1,2015-02-15,,,,unresolved,,,phys.org,,unmatched,0,0.0,0.0,unranked,Phys.org,United Kingdom,pub_006,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox evelynae lyrura)",A new species of hummingbird?,http://phys.org/news/2015-02-species-hummingbird.html
2026-02-16_mentions_10.1642_AUK-14-108.1__21,2015-02-12T17:11:00,2015-Q1,2015-02-15,,,,unresolved,,,w2.technobahn.com,,unmatched,0,0.0,0.0,unranked,Technobahn,United States,pub_006,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox evelynae lyrura)",A New Species of Hummingbird?,http://w2.technobahn.com/articles/2015021217110029.html
2026-02-16_mentions_10.1642_AUK-14-108.1__22,2015-02-12T17:11:00,2015-Q1,2015-02-15,,,,unresolved,,,sciencenewsline.com,,unmatched,0,0.0,0.0,unranked,Science Newsline,Japan,pub_006,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox evelynae lyrura)",A New Species of Hummingbird?,http://www.sciencenewsline.com/summary/2015021217110029.html
2026-02-16_mentions_10.1642_AUK-14-108.1__20,2015-02-12T17:23:48,2015-Q1,2015-02-15,,,,unresolved,,,sciencedaily.com,,unmatched,0,0.0,0.0,unranked,Science Daily,United States,pub_006,"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox evelynae lyrura)",A new species of hummingbird?,http://www.sciencedaily.com/releases/2015/02/150212122348.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29
