domain,mentions,ranked_mentions,rank_coverage_rate,mean_reach_score_at_date,median_reach_score_at_date,mean_tranco_rank_at_date,median_tranco_rank_at_date,best_tranco_rank_at_date,worst_tranco_rank_at_date,primary_match_type,unique_snapshot_periods,unique_tranco_lists,top_outlet,top_outlet_mentions,first_mention_date,last_mention_date,latest_tranco_rank,latest_reach_score,latest_tranco_list_id
feedproxy.google.com,7,7,1.0,100.0,100.0,1,1,1,1,suffix,5,3,Technology.org,3,2015-10-14T01:10:13,2021-10-15T18:43:11,1,100.0,9WJY2
news.google.com,5,5,1.0,100.0,100.0,1,1,1,1,suffix,4,4,Google News,5,2019-09-13T12:16:00,2022-11-26T17:10:01,1,100.0,9WJY2
in.news.yahoo.com,2,2,1.0,84.95,84.95,8,8,8,8,suffix,2,1,Yahoo! News India,1,2015-10-07T17:59:30,2018-05-25T09:36:04,49,71.83,9WJY2
ca.news.yahoo.com,1,1,1.0,84.95,84.95,8,8,8,8,suffix,1,1,Yahoo! News,1,2018-05-24T18:20:22,2018-05-24T18:20:22,49,71.83,9WJY2
news.yahoo.com,1,1,1.0,84.95,84.95,8,8,8,8,suffix,1,1,Yahoo! News,1,2015-10-07T17:10:59,2015-10-07T17:10:59,49,71.83,9WJY2
yahoo.com,1,1,1.0,84.95,84.95,8,8,8,8,exact,1,1,Yahoo!,1,2018-05-25T18:35:17,2018-05-25T18:35:17,49,71.83,9WJY2
uk.news.yahoo.com,7,7,1.0,80.36,80.4,18,15,8,42,suffix,5,5,Yahoo! News,7,2018-05-24T15:00:00,2023-12-19T16:53:46,49,71.83,9WJY2
msn.com,6,6,1.0,76.2483,76.555,40,38,10,79,exact,4,4,MSN,6,2018-05-25T12:53:52,2023-12-20T20:34:55,60,70.36,9WJY2
ca.finance.yahoo.com,1,1,1.0,75.63,75.63,29,29,29,29,suffix,1,1,Yahoo! Finance Canada,1,2023-07-12T12:53:00,2023-07-12T12:53:00,49,71.83,9WJY2
nytimes.com,1,1,1.0,70.49,70.49,59,59,59,59,exact,1,1,New York Times,1,2020-03-18T21:27:31,2020-03-18T21:27:31,156,63.45,9WJY2
medium.com,1,1,1.0,69.35,69.35,69,69,69,69,exact,1,1,Medium US,1,2021-06-30T12:36:07,2021-06-30T12:36:07,183,62.29,9WJY2
cnn.com,1,1,1.0,67.84,67.84,85,85,85,85,exact,1,1,CNN News,1,2018-05-24T15:03:52,2018-05-24T15:03:52,181,62.37,9WJY2
businessinsider.com,2,2,1.0,59.655,59.655,264,264,246,282,exact,2,2,Business Insider,2,2015-10-07T17:10:59,2023-07-12T12:53:00,374,57.12,9WJY2
news.cornell.edu,3,3,1.0,57.3733,56.76,364,393,305,393,suffix,3,2,Cornell Chronicle,3,2017-09-21T16:09:02,2021-10-11T14:10:00,407,56.51,9WJY2
arstechnica.com,1,1,1.0,56.8,56.8,391,391,391,391,exact,1,1,Arstechnica,1,2015-10-08T16:23:15,2015-10-08T16:23:15,1885,45.41,9WJY2
news.umich.edu,1,1,1.0,55.93,55.93,441,441,441,441,suffix,1,1,University of Michigan News,1,2021-10-11T13:50:02,2021-10-11T13:50:02,971,50.21,9WJY2
actualidad.rt.com,1,1,1.0,55.68,55.68,456,456,456,456,suffix,1,1,RT Network,1,2018-05-27T13:12:41,2018-05-27T13:12:41,2378,43.73,9WJY2
economictimes.indiatimes.com,2,2,1.0,55.59,55.59,502,502,305,700,suffix,2,2,Times of India,2,2018-05-25T11:27:16,2023-12-29T05:34:53,497,55.06,9WJY2
news.yale.edu,2,2,1.0,54.22,54.22,565,565,477,653,suffix,2,2,Yale News,2,2018-05-24T15:45:27,2021-10-11T14:00:38,1121,49.17,9WJY2
theatlantic.com,1,1,1.0,53.94,53.94,580,580,580,580,exact,1,1,The Atlantic,1,2018-05-24T11:00:00,2018-05-24T11:00:00,913,50.66,9WJY2
cam.ac.uk,1,1,1.0,53.31,53.31,633,633,633,633,exact,1,1,University of Cambridge,1,2021-10-14T12:10:32,2021-10-14T12:10:32,1210,48.62,9WJY2
animals.howstuffworks.com,1,1,1.0,52.86,52.86,674,674,674,674,suffix,1,1,HowStuffWorks,1,2018-06-06T18:00:05,2018-06-06T18:00:05,2541,43.25,9WJY2
breitbart.com,1,1,1.0,52.81,52.81,678,678,678,678,exact,1,1,Breitbart News Network,1,2017-09-21T17:00:22,2017-09-21T17:00:22,4498,39.12,9WJY2
sciencemag.org,1,1,1.0,52.77,52.77,682,682,682,682,exact,1,1,Science/AAAS,1,2018-05-24T15:05:00,2018-05-24T15:05:00,1812,45.7,9WJY2
