pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021-10-11	Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary	Ecology and Evolution		"Hughes, J. J., Berv, J. S., Chester, S. G. B., Sargis, E. J., & Field, D. J. (2021). Ecological selectivity and the evolution of mammalian substrate preference across the K-Pg boundary. <i> Ecology and Evolution </i>, 11, 14540-14554. https://doi.org/10.1002/ece3.8114"	Hughes_et_al_2021	http://jakeberv.github.io/files/papers/Hughes_et_al_2021.pdf
2021-05-18	Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes	Molecular Phylogenetics and Evolution		"Berv, J.S., Campagna, L., Feo, T.J., Castro-Astor, I., Ribas, C.C., Prum, R.O., Lovette, I.J., (2021). Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes. <i> Molecular Phylogenetics and Evolution </i> 164, 107205. https://doi.org/10.1016/j.ympev.2021.107205"	Berv_et_al_2021	http://jakeberv.github.io/files/papers/Berv_et_al_2021.pdf
2021-03-08	Recent divergence and lack of shared phylogeographic history characterize the diversification of neotropical savanna birds	Journal of Biogeography		"van Els, P., Zarza, E., Rocha Moreira, L., Gómez-Bahamón, V., Santana, A., Aleixo, A., Ribas, C. C., do Rêgo, P. S., Santos, M. P. D., Zyskowski, K., Prum, R. O., Berv, J. S., (2021). Recent divergence and lack of shared phylogeographic history characterize the diversification of neotropical savanna birds. <i> Journal of Biogeography </i>. https://doi.org/10.1111/jbi.14065"	vanEls_et_al_2021	http://jakeberv.github.io/files/papers/vanEls_et_al_2021.pdf
2020-08-21	"Timing the Extant Avian Radiation: The Rise of Modern Birds, and the Importance of Modeling Molecular Rate Variation"	Bulletin of the American Museum of Natural History		"Field, D.J., Berv, J.S., Hsiang, A.Y., Lanfear, R., Landis, M.J., Dornburg, A., (2020). Timing the Extant Avian Radiation: The Rise of Modern Birds, and the Importance of Modeling Molecular Rate Variation. In: Pittman, M., Xu, X. (Eds.), Pennaraptoran Theropod Dinosaurs Past Progress and New Frontiers. <i> Bulletin of the American Museum of Natural History </i>, New York, pp. 159-181. digitallibrary.amnh.org/handle/2246/72374"	field_et_al_2020	http://jakeberv.github.io/files/papers/Field_et_al_2020.pdf
2019-09-30	An inverse latitudinal gradient in infection probability and phylogenetic diversity for Leucocytozoon blood parasites in New World birds	Journal of Animal Ecology		"Fecchio, Alan ... Berv, J.S, et al (author list truncated) (2019). An inverse latitudinal gradient in infection probability and phylogenetic diversity for Leucocytozoon blood parasites in New World birds, <i> Journal of Animal Ecology </i>. https://doi.org/10.1111/1365-2656.13117."	Fecchio_et_al_2019	http://jakeberv.github.io/files/papers/Fecchio_et_al_2019.pdf
2018-05-24	Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction	Current Biology		"Field, D.J., Bercovici, A., Berv, J.S., Dunn, R., Fastovsky, D.E., Lyson, T.R, Vajda, V., Gauthier, J.A. (2018). Early Evolution of Modern Birds Structured by Global Forest Collapse at the End-Cretaceous Mass Extinction. <i> Current Biology </i>. https://doi.org/10.1016/j.cub.2018.04.062 "	Field_et_al_2018	http://jakeberv.github.io/files/papers/Field_et_al_2018.pdf
2018-03-01	"Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds"	Evolution		"Clark, C.J., McGuire, J.A., Bonaccoroso, E., Berv, J.S., Prum, R.O. (2018). Complex coevolution of wing, tail, and vocal sounds of courting male bee hummingbirds. <i>Evolution</i>. https://doi.org/10.1111/evo.13432"	Clark_et_al_2018	http://jakeberv.github.io/files/papers/Clark_et_al_2018.pdf
2018-01-01	Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction	Systematic Biology		"Berv, J.S. Field, D. J. (2018). Genomic Signature of an Avian Lilliput Effect across the K-Pg Extinction, <i>Systematic Biology</i>. https://doi.org/10.1093/sysbio/syx064"	Berv_Field_2018	http://jakeberv.github.io/files/papers/Berv_Field_2018.pdf
2015-10-07	A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing	Nature		"Prum, R.O. *, Berv, J.S.*, Dornburg, A., Field, D. J., Townsend, J.P., Lemmon, E.M., Lemmon, A. R. (2015). A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing, <i>Nature</i>, https://doi.org/10.1038/nature15697 *shared first authorship"	Prum_Berv_et_al_2015	http://jakeberv.github.io/files/papers/Prum_Berv_et_al_2015.pdf
2014-12-17	"Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox ""evelynae"" lyrura)"	The Auk: Ornithological Advances		"Feo, T., Musser, J., Berv. J. S., Clark, C. J. (2015). Divergence in morphology, calls, song, mechanical sounds, and genetics supports species status for the Inaguan hummingbird (Trochilidae: Calliphlox ""evelynae"" lyrura), <i>The Auk: Ornithological Advances</i>, https://doi.org/10.1642/AUK-14-108.1"	Feo_et_al_2015	http://jakeberv.github.io/files/papers/Feo_et_al_2015.pdf
